tc_id,uc_id,validation_class,mechanism,data_source,platform_category,evidenced_by,authored,negative_control,tenant_verified,status
TC-AEPS-01,UC-AEPS,AUT,M5,,unknown,,False,unknown,False,open
TC-AEPS-02,UC-AEPS,AUT,M5,,unknown,,False,unknown,False,open
TC-AEPS-03,UC-AEPS,PLT,M4,,unknown,,False,unknown,False,open
TC-AES-01,UC-AES,DET,M1,xdr_data,none,scenario,True,unknown,False,authored
TC-AES-02,UC-AES,DET,M1,xdr_data,none,scenario,True,unknown,False,authored
TC-AES-03,UC-AES,DET,M1,xdr_data,none,scenario,True,unknown,False,authored
TC-AES-04,UC-AES,PLT,M4,,unknown,,False,unknown,False,open
TC-AES-05,UC-AES,DET,M1,xdr_data,none,scenario,True,unknown,False,authored
TC-AES-06,UC-AES,DET,M1,xdr_data,none,scenario,True,unknown,False,authored
TC-AES-07,UC-AES,DET,M1,xdr_data,none,scenario,True,unknown,False,authored
TC-AES-08,UC-AES,DET,M1,xdr_data,none,scenario,True,unknown,False,authored
TC-AES-09,UC-AES,DET,M1,xdr_data,none,,False,unknown,False,open
TC-AGRP-01,UC-AGRP,POS,M3,,unknown,,False,unknown,False,blocked(laab)
TC-AGRP-02,UC-AGRP,POS,M3,,unknown,,False,unknown,False,blocked(laab)
TC-AGRP-03,UC-AGRP,POS,M3,,unknown,,False,unknown,False,blocked(laab)
TC-AGTX-01,UC-AGTX,DET,M2-quick,incidents,none,,False,unknown,False,open
TC-AGTX-02,UC-AGTX,POS,M3,,unknown,,False,unknown,False,blocked(laab)
TC-AGTX-03,UC-AGTX,DET,M1,xdr_data,none,scenario,True,unknown,False,authored
TC-AGTX-04,UC-AGTX,DET,M1,xdr_data,none,,False,unknown,False,open
TC-AGTX-05,UC-AGTX,DET,M1,xdr_data,none,,False,unknown,False,open
TC-AGTX-06,UC-AGTX,DET,M1,xdr_data,none,,False,unknown,False,open
TC-AGTX-07,UC-AGTX,DET,M1,xdr_data,none,scenario,True,unknown,False,authored
TC-AGTX-08,UC-AGTX,POS,M3,,unknown,,False,unknown,False,blocked(laab)
TC-AGTX-09,UC-AGTX,DET,M1,xdr_data,none,,False,unknown,False,open
TC-AGTX-10,UC-AGTX,DET,M1,xdr_data,none,,False,unknown,False,open
TC-AGTX-11,UC-AGTX,DET,M1,xdr_data,none,scenario,True,unknown,False,authored
TC-AGTX-12,UC-AGTX,DET,M1,xdr_data,none,,False,unknown,False,open
TC-AIRS-01,UC-AIRS,DET,M2-longterm,cloud_audit_logs · container_events,cloud,scenario,True,unknown,False,authored
TC-AIRS-02,UC-AIRS,POS,M3,,unknown,,False,unknown,False,blocked(laab)
TC-AIRS-03,UC-AIRS,POS,M3,,unknown,,False,unknown,False,blocked(laab)
TC-AIRS-04,UC-AIRS,POS,M3,,unknown,,False,unknown,False,blocked(laab)
TC-AIRS-05,UC-AIRS,POS,M3,,unknown,,False,unknown,False,blocked(laab)
TC-AIRS-06,UC-AIRS,POS,M3,,unknown,,False,unknown,False,blocked(laab)
TC-AIRS-07,UC-AIRS,DET,M2-longterm,cloud_audit_logs · container_events,cloud,scenario,True,unknown,False,authored
TC-AIRS-08,UC-AIRS,DET,M2-longterm,cloud_audit_logs · container_events,cloud,scenario,True,unknown,False,authored
TC-AIRS-09,UC-AIRS,POS,M3,,unknown,,False,unknown,False,blocked(laab)
TC-AIRS-10,UC-AIRS,POS,M3,,unknown,,False,unknown,False,blocked(laab)
TC-AISP-01,UC-AISP,POS,M3,,unknown,scenario,True,unknown,False,authored
